episode 300, steps 1001, avg_score : 22.204499503690748
episode 301, steps 1001, avg_score : 22.616999494470654
episode 302, steps 1001, avg_score : 20.474999542348087
episode 303, steps 1001, avg_score : 23.60549947237596
episode 304, steps 1001, avg_score : 24.318499456439167
episode 305, steps 1001, avg_score : 23.197999481484295
episode 306, steps 1001, avg_score : 23.034999485127628
episode 307, steps 1001, avg_score : 23.515499474387617
episode 308, steps 1001, avg_score : 23.201999481394886
episode 309, steps 1001, avg_score : 21.032999529875816
episode 310, steps 1001, avg_score : 24.249499457981436
episode 311, steps 1001, avg_score : 22.63549949405715
episode 312, steps 1001, avg_score : 22.09899950604886
episode 313, steps 1001, avg_score : 24.476999452896415
episode 314, steps 1001, avg_score : 22.707499492447823
episode 315, steps 1001, avg_score : 24.821999445185064
episode 316, steps 1001, avg_score : 24.76349944649264
episode 317, steps 1001, avg_score : 25.523499429505318
episode 318, steps 1001, avg_score : 22.94299948718399
episode 319, steps 1001, avg_score : 23.24099948052317
episode 320, steps 1001, avg_score : 24.796499445755035
episode 321, steps 1001, avg_score : 24.873999444022775                                                                                                                                                                                                                         [1860/2755]
episode 322, steps 1001, avg_score : 24.662499448750168
episode 323, steps 1001, avg_score : 26.207999414205553
episode 324, steps 1001, avg_score : 24.942999442480506
episode 325, steps 1001, avg_score : 24.547999451309444
episode 326, steps 1001, avg_score : 26.025499418284745
episode 327, steps 1001, avg_score : 23.51849947432056
episode 328, steps 1001, avg_score : 23.43499947618693
episode 329, steps 1001, avg_score : 22.340999500639736
episode 330, steps 1001, avg_score : 22.049999507144094
episode 331, steps 1001, avg_score : 22.875999488681554
episode 332, steps 1001, avg_score : 20.589999539777637
episode 333, steps 1001, avg_score : 25.357499433215708
episode 334, steps 1001, avg_score : 25.211499436479063
episode 335, steps 1001, avg_score : 28.046999373100697
episode 336, steps 1001, avg_score : 26.950999397598206
episode 337, steps 1001, avg_score : 26.942499397788197
episode 338, steps 1001, avg_score : 27.256999390758573
episode 339, steps 1001, avg_score : 25.96099941972643
episode 340, steps 1001, avg_score : 27.664499381650238
episode 341, steps 1001, avg_score : 28.867499354761094
episode 342, steps 1001, avg_score : 26.197499414440244
episode 343, steps 1001, avg_score : 26.07099941726774
episode 344, steps 1001, avg_score : 26.881999399140476
episode 345, steps 1001, avg_score : 27.51699938494712
episode 346, steps 1001, avg_score : 29.308499344903975
episode 347, steps 1001, avg_score : 27.372499388176948
episode 348, steps 1001, avg_score : 22.901999488100408
episode 349, steps 1001, avg_score : 26.61249940516427
episode 350, steps 1001, avg_score : 25.38949943250045
episode 351, steps 1001, avg_score : 24.370499455276878
episode 352, steps 1001, avg_score : 25.949499419983475
episode 353, steps 1001, avg_score : 26.248499413300305
episode 354, steps 1001, avg_score : 26.174499414954333
episode 355, steps 1001, avg_score : 25.027999440580608
episode 356, steps 1001, avg_score : 26.17499941494316
episode 357, steps 1001, avg_score : 25.055499439965935
episode 358, steps 1001, avg_score : 23.71949946982786
episode 359, steps 1001, avg_score : 27.236999391205607
episode 360, steps 1001, avg_score : 27.27099939044565
episode 361, steps 1001, avg_score : 26.082499417010695
episode 362, steps 1001, avg_score : 26.75499940197915
episode 363, steps 1001, avg_score : 26.095499416720124
episode 364, steps 1001, avg_score : 25.531999429315327
episode 365, steps 1001, avg_score : 24.964999441988766
episode 366, steps 1001, avg_score : 26.442499408964068
episode 367, steps 1001, avg_score : 27.217999391630293
episode 368, steps 1001, avg_score : 26.305499412026258
episode 369, steps 1001, avg_score : 27.64749938203022
episode 370, steps 1001, avg_score : 25.836999422498046
episode 371, steps 1001, avg_score : 27.05399939529598
episode 372, steps 1001, avg_score : 27.885499376710506
episode 373, steps 1001, avg_score : 27.296999389864503
episode 374, steps 1001, avg_score : 27.443499386589973
episode 375, steps 1001, avg_score : 26.335999411344527
episode 376, steps 1001, avg_score : 28.329999366775155
episode 377, steps 1001, avg_score : 27.087499394547194
episode 378, steps 1001, avg_score : 25.434499431494622
episode 379, steps 1001, avg_score : 25.268999435193837
episode 380, steps 1001, avg_score : 25.31149943424389
episode 381, steps 1001, avg_score : 27.295999389886855
episode 382, steps 1001, avg_score : 30.534999317489564
episode 383, steps 1001, avg_score : 27.334499389026313
episode 384, steps 1001, avg_score : 27.835499377828093
episode 385, steps 1001, avg_score : 28.657999359443785
episode 386, steps 1001, avg_score : 28.578499361220747
episode 387, steps 1001, avg_score : 29.249499346222727
episode 388, steps 1001, avg_score : 28.882999354414643
episode 389, steps 1001, avg_score : 27.259499390702693
episode 390, steps 1001, avg_score : 27.483499385695904
episode 391, steps 1001, avg_score : 30.596999316103755
episode 392, steps 1001, avg_score : 28.718499358091503
episode 393, steps 1001, avg_score : 29.14099934864789
episode 394, steps 1001, avg_score : 27.990499374363573
episode 395, steps 1001, avg_score : 27.56649938384071
episode 396, steps 1001, avg_score : 27.578999383561314
episode 397, steps 1001, avg_score : 24.38199945501983
episode 398, steps 1001, avg_score : 27.074499394837765
episode 399, steps 1001, avg_score : 26.265499412920327
episode 400, steps 1001, avg_score : 28.247499368619174
episode 401, steps 1001, avg_score : 26.798999400995672                                                                                                                                                                                                                         [1780/2755]
episode 402, steps 1001, avg_score : 25.72349942503497
episode 403, steps 1001, avg_score : 28.70349935842678
episode 404, steps 1001, avg_score : 28.418499364797025
episode 405, steps 1001, avg_score : 26.530499406997116
episode 406, steps 1001, avg_score : 25.045999440178274
episode 407, steps 1001, avg_score : 27.01699939612299
episode 408, steps 1001, avg_score : 26.56999940611422
episode 409, steps 1001, avg_score : 28.310999367199837
episode 410, steps 1001, avg_score : 27.158999392949045
episode 411, steps 1001, avg_score : 27.119999393820763
episode 412, steps 1001, avg_score : 27.19099939223379
episode 413, steps 1001, avg_score : 28.57999936118722
episode 414, steps 1001, avg_score : 27.719499380420892
episode 415, steps 1001, avg_score : 28.564999361522496
episode 416, steps 1001, avg_score : 28.63299936000258
episode 417, steps 1001, avg_score : 26.838999400101603
episode 418, steps 1001, avg_score : 26.041499417927117
episode 419, steps 1001, avg_score : 24.373999455198646
episode 420, steps 1001, avg_score : 25.7344994247891
episode 421, steps 1001, avg_score : 26.997999396547677
episode 422, steps 1001, avg_score : 26.24049941347912
episode 423, steps 1001, avg_score : 26.771999401599167
episode 424, steps 1001, avg_score : 27.442499386612326
episode 425, steps 1001, avg_score : 25.80099942330271
episode 426, steps 1001, avg_score : 26.97449939707294
episode 427, steps 1001, avg_score : 26.84249940002337
episode 428, steps 1001, avg_score : 26.36399941071868
episode 429, steps 1001, avg_score : 25.745999424532055
episode 430, steps 1001, avg_score : 25.589999428018928
episode 431, steps 1001, avg_score : 27.701999380812047
episode 432, steps 1001, avg_score : 27.130999393574893
episode 433, steps 1001, avg_score : 26.579999405890703
episode 434, steps 1001, avg_score : 26.675999403744935
episode 435, steps 1001, avg_score : 26.75649940194562
episode 436, steps 1001, avg_score : 27.631499382387847
episode 437, steps 1001, avg_score : 27.504999385215342
episode 438, steps 1001, avg_score : 26.282999412529172
episode 439, steps 1001, avg_score : 26.686999403499065
episode 440, steps 1001, avg_score : 27.273999390378595
episode 441, steps 1001, avg_score : 26.097999416664244
episode 442, steps 1001, avg_score : 27.414499387238173
episode 443, steps 1001, avg_score : 27.66599938161671
episode 444, steps 1001, avg_score : 27.37499938812107
episode 445, steps 1001, avg_score : 24.980499441642316
episode 446, steps 1001, avg_score : 26.28449941249564
episode 447, steps 1001, avg_score : 26.97649939702824
episode 448, steps 1001, avg_score : 27.696999380923806
episode 449, steps 1001, avg_score : 26.787499401252717
episode 450, steps 1001, avg_score : 27.336999388970433
episode 451, steps 1001, avg_score : 27.66599938161671
episode 452, steps 1001, avg_score : 25.98249941924587
episode 453, steps 1001, avg_score : 27.597499383147806
episode 454, steps 1001, avg_score : 26.8554993997328
episode 455, steps 1001, avg_score : 25.89449942121282
episode 456, steps 1001, avg_score : 27.030999395810067
episode 457, steps 1001, avg_score : 26.78199940137565
episode 458, steps 1001, avg_score : 27.445999386534094
episode 459, steps 1001, avg_score : 27.681999381259082
episode 460, steps 1001, avg_score : 27.042999395541848
episode 461, steps 1001, avg_score : 27.076499394793064
episode 462, steps 1001, avg_score : 27.38249938795343
episode 463, steps 1001, avg_score : 27.68749938113615
episode 464, steps 1001, avg_score : 27.974999374710023
episode 465, steps 1001, avg_score : 25.820499422866853
episode 466, steps 1001, avg_score : 28.186999369971453
episode 467, steps 1001, avg_score : 25.951499419938774
episode 468, steps 1001, avg_score : 26.387499410193413
episode 469, steps 1001, avg_score : 26.295499412249775
episode 470, steps 1001, avg_score : 27.254999390803277
episode 471, steps 1001, avg_score : 24.443999453634024
episode 472, steps 1001, avg_score : 25.485499430354686
episode 473, steps 1001, avg_score : 25.64249942684546
episode 474, steps 1001, avg_score : 24.757499446626753
episode 475, steps 1001, avg_score : 25.72799942493439
episode 476, steps 1001, avg_score : 25.630999427102505
episode 477, steps 1001, avg_score : 25.34349943352863
episode 478, steps 1001, avg_score : 25.85199942216277
episode 479, steps 1001, avg_score : 25.732499424833804
episode 480, steps 1001, avg_score : 25.488999430276454
episode 481, steps 1001, avg_score : 25.031499440502376                                                                                                                                                                                                                         [1700/2755]
episode 482, steps 1001, avg_score : 23.704499470163135
episode 483, steps 1001, avg_score : 23.129499483015387
episode 484, steps 1001, avg_score : 23.877499466296285
episode 485, steps 1001, avg_score : 23.700999470241367
episode 486, steps 1001, avg_score : 24.214999458752573
episode 487, steps 1001, avg_score : 23.078999484144152
episode 488, steps 1001, avg_score : 23.11649948330596
episode 489, steps 1001, avg_score : 23.92199946530163
episode 490, steps 1001, avg_score : 23.84399946704507
episode 491, steps 1001, avg_score : 23.79049946824089
episode 492, steps 1001, avg_score : 25.636999426968394
episode 493, steps 1001, avg_score : 25.015499440860005
episode 494, steps 1001, avg_score : 25.667999426275493
episode 495, steps 1001, avg_score : 27.07599939480424
episode 496, steps 1001, avg_score : 27.081999394670127
episode 497, steps 1001, avg_score : 26.134499415848403
episode 498, steps 1001, avg_score : 24.408999454416335
episode 499, steps 1001, avg_score : 25.589499428030102
episode 500, steps 1001, avg_score : 23.967999464273454
episode 501, steps 1001, avg_score : 24.418999454192818
episode 502, steps 1001, avg_score : 24.237999458238484
episode 503, steps 1001, avg_score : 22.6199994944036
episode 504, steps 1001, avg_score : 20.606999539397655
episode 505, steps 1001, avg_score : 22.8644994889386
episode 506, steps 1001, avg_score : 23.72299946974963
episode 507, steps 1001, avg_score : 21.957999509200455
episode 508, steps 1001, avg_score : 21.78949951296672
